addr1,addr2,city,state,zip,matchbackid,tsmart_latitude,tsmart_longitude,tsmart_geolevel,tsmart_censusid
"211 Commerce Blvd., Bldg B Round Rock",,Round Rock,TX,,249,30.531982,-97.685714,Street,4.8491E+14
400 PORTER ST Taylor,,Taylor,TX,,251,30.57134,-97.40861,Zip9,4.8491E+14
801 Vance St Taylor,,Taylor,TX,,252,30.57488,-97.41241,Zip9,4.8491E+14
409 S Main St Thrall,,Thrall,TX,,253,30.51699,-97.24663,Zip5,4.8491E+14
565 S. Major Dr.,,Beaumont,TX,77707,255,30.07025,-94.189552,Street,4.8245E+14
455 Keith Rd.,,Beaumont,TX,77713,256,30.126985,-94.212811,Street,4.8245E+14
7390 Sweetgum Rd.,,Bevil Oaks,TX,77713,257,30.147111,-94.26917,Street,4.8245E+14
3395 Harrison Ave.,,Beaumont,TX,77706,258,30.089333,-94.136598,Street,4.8245E+14
3650 Dowlen Rd.,,Beaumont,TX,77706,259,30.112105,-94.16836,Street,4.8245E+14
3475 Champions Dr.,,Beaumont,TX,77707,260,30.040584,-94.179261,Street,4.8245E+14
2330 North St.,,Beaumont,TX,77702,261,30.087911,-94.121056,Street,4.8245E+14
20205 W. Hwy 90,,Beaumont,TX,77713,262,30.033266,-94.437203,Street,4.8245E+14
6540 Gladys Ave.,,Beaumont,TX,77706,263,30.091498,-94.174068,Street,4.8245E+14
8055 Voth Rd.,,Beaumont,TX,77708,264,30.146721,-94.180978,Street,4.8245E+14
2025 Merriman St.,,Port Neches,TX,77651,265,29.981302,-93.955186,Street,4.8245E+14
3707 Central Blvd.,,Nederland,TX,77627,266,29.994132,-94.021228,Street,4.8245E+14
3901 Cleveland Ave.,,Groves,TX,77619,267,29.949931,-93.913983,Street,4.8245E+14
207 N. 12th Street,,Nederland,TX,77627,268,29.975234,-93.990551,Street,4.8245E+14
5000 Jerry Ware Dr.,,Beaumont,TX,77705,269,29.95278,-94.07689,Zip9,4.8245E+14
